ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
20MICRONS.NS,20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,6934689280,INR,NSE,EQUITY,
21STCENMGM.NS,21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,490140000,INR,NSE,EQUITY,
360ONE.NS,360ONE,360 One Wam Limited,Financial Services,Asset Management,459092426752,INR,NSE,EQUITY,
3IINFOLTD.NS,3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,3342506496,INR,NSE,EQUITY,
3MINDIA.NS,3MINDIA,3M India Limited,Industrials,Conglomerates,398445510656,INR,NSE,EQUITY,
5PAISA.NS,5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,9715148800,INR,NSE,EQUITY,
63MOONS.NS,63MOONS,63 moons technologies limited,Technology,Software - Application,34936528896,INR,NSE,EQUITY,
A2ZINFRA.NS,A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,2577213696,INR,NSE,EQUITY,
AAATECH.NS,AAATECH,AAA Technologies Limited,Technology,Information Technology Services,1288195584,INR,NSE,EQUITY,
AADHARHFC.NS,AADHARHFC,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,212967800832,INR,NSE,EQUITY,
AAKASH.NS,AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,895049984,INR,NSE,EQUITY,
AAREYDRUGS.NS,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1918452352,INR,NSE,EQUITY,
AARON.NS,AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,3765338880,INR,NSE,EQUITY,
AARTECH.NS,AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,1559290112,INR,NSE,EQUITY,
AARTIDRUGS.NS,AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,35400122368,INR,NSE,EQUITY,
AARTIIND.NS,AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,135120257024,INR,NSE,EQUITY,
AARTIPHARM.NS,AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,68434178048,INR,NSE,EQUITY,
AARTISURF.NS,AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,3421127680,INR,NSE,EQUITY,
AARVI.NS,AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,1793131392,INR,NSE,EQUITY,
AAVAS.NS,AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,117739937792,INR,NSE,EQUITY,
ABAN.NS,ABAN,Aban Offshore Limited,Energy,Oil & Gas Drilling,1604462720,INR,NSE,EQUITY,
ABB.NS,ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,1111177297920,INR,NSE,EQUITY,
ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,590836858880,INR,NSE,EQUITY,
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,910418509824,INR,NSE,EQUITY,
ABCOTS.NS,ABCOTS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,Textile Manufacturing,9091841024,INR,NSE,EQUITY,
ABDL.NS,ABDL,ALLIED BLEND N DISTILS L,Consumer Defensive,Beverages - Wineries & Distilleries,174385299456,INR,NSE,EQUITY,
ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,90194100224,INR,NSE,EQUITY,
ABINFRA.NS,ABINFRA,A B INFRABUILD LIMITED,Industrials,Engineering & Construction,12130610176,INR,NSE,EQUITY,
ABLBL.NS,ABLBL,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,Apparel Retail,154334904320,INR,NSE,EQUITY,
ABMINTLLTD.NS,ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,401345280,INR,NSE,EQUITY,
ABREL.NS,ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,187969945600,INR,NSE,EQUITY,
ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,222233772032,INR,NSE,EQUITY,
ACC.NS,ACC,ACC Limited,Basic Materials,Building Materials,332856000512,INR,NSE,EQUITY,
ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,19583612928,INR,NSE,EQUITY,
ACCURACY.NS,ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,844641600,INR,NSE,EQUITY,
ACE.NS,ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,116075520000,INR,NSE,EQUITY,
ACEINTEG.NS,ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,223788000,INR,NSE,EQUITY,
ACI.NS,ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,62821797888,INR,NSE,EQUITY,
ACL.NS,ACL,Andhra Cements Limited,Basic Materials,Building Materials,6714169344,INR,NSE,EQUITY,
ACMESOLAR.NS,ACMESOLAR,ACME SOLAR HOLDINGS LTD,Utilities,Utilities - Renewable,139931009024,INR,NSE,EQUITY,
ACUTAAS.NS,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals,138823974912,INR,NSE,EQUITY,
ADANIENSOL.NS,ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1194435411968,INR,NSE,EQUITY,
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2905820626944,INR,NSE,EQUITY,
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1694225268736,INR,NSE,EQUITY,
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,3238278987776,INR,NSE,EQUITY,
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,2802644680704,INR,NSE,EQUITY,
ADFFOODS.NS,ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods,23954657280,INR,NSE,EQUITY,
ADL.NS,ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",458659008,INR,NSE,EQUITY,
ADOR.NS,ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery,18098929664,INR,NSE,EQUITY,
ADROITINFO.NS,ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services,584584320,INR,NSE,EQUITY,
ADSL.NS,ADSL,Allied Digital Services Limited,Technology,Information Technology Services,8822985728,INR,NSE,EQUITY,
ADVANCE.NS,ADVANCE,ADVANCE AGROLIFE LIMITED,Basic Materials,Agricultural Inputs,7606286336,INR,NSE,EQUITY,
ADVANIHOTR.NS,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,5304120832,INR,NSE,EQUITY,
ADVENTHTL.NS,ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Resorts & Casinos,11863107584,INR,NSE,EQUITY,
ADVENZYMES.NS,ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,34271987712,INR,NSE,EQUITY,
AEGISLOG.NS,AEGISLOG,AEGIS LOGISTICS LIMITED,Energy,Oil & Gas Refining & Marketing,260366188544,INR,NSE,EQUITY,
AEGISVOPAK.NS,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,Energy,Oil & Gas Equipment & Services,282205454336,INR,NSE,EQUITY,
AEQUS.NS,AEQUS,AEQUS LIMITED,Industrials,Aerospace & Defense,91673034752,INR,NSE,EQUITY,
AEROENTER.NS,AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel,9074780160,INR,NSE,EQUITY,
AEROFLEX.NS,AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication,23255681024,INR,NSE,EQUITY,
AERONEU.NS,AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging & Containers,2082355840,INR,NSE,EQUITY,
AETHER.NS,AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals,114617253888,INR,NSE,EQUITY,
AFCONS.NS,AFCONS,AFCONS INFRASTRUCTURE LTD,Industrials,Engineering & Construction,145661100032,INR,NSE,EQUITY,
AFFLE.NS,AFFLE,Affle 3i Limited,Communication Services,Advertising Agencies,240518758400,INR,NSE,EQUITY,
AFFORDABLE.NS,AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery,2395117312,INR,NSE,EQUITY,
AFIL.NS,AFIL,AKME FINTRADE (INDIA) LTD,Financial Services,Credit Services,2942843904,INR,NSE,EQUITY,
AFSL.NS,AFSL,Abans Financial Services Limited,Financial Services,Capital Markets,10182933504,INR,NSE,EQUITY,
AGARIND.NS,AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,10430814208,INR,NSE,EQUITY,
