ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
20MICRONS.NS,20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,6934689280,INR,NSE,EQUITY,
AARTIIND.NS,AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,135120257024,INR,NSE,EQUITY,
AARTISURF.NS,AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,3421127680,INR,NSE,EQUITY,
ABMINTLLTD.NS,ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,401345280,INR,NSE,EQUITY,
ACC.NS,ACC,ACC Limited,Basic Materials,Building Materials,332856000512,INR,NSE,EQUITY,
ACI.NS,ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,62821797888,INR,NSE,EQUITY,
ACL.NS,ACL,Andhra Cements Limited,Basic Materials,Building Materials,6714169344,INR,NSE,EQUITY,
ACUTAAS.NS,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals,138823974912,INR,NSE,EQUITY,
ADVANCE.NS,ADVANCE,ADVANCE AGROLIFE LIMITED,Basic Materials,Agricultural Inputs,7606286336,INR,NSE,EQUITY,
ADVENZYMES.NS,ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,34271987712,INR,NSE,EQUITY,
AEROENTER.NS,AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel,9074780160,INR,NSE,EQUITY,
AETHER.NS,AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals,114617253888,INR,NSE,EQUITY,
AGARIND.NS,AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,10430814208,INR,NSE,EQUITY,
AGROPHOS.NS,AGROPHOS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs,771227392,INR,NSE,EQUITY,
AKSHARCHEM.NS,AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals,2011488000,INR,NSE,EQUITY,
AKZOINDIA.NS,AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals,165038096384,INR,NSE,EQUITY,
ALKALI.NS,ALKALI,Alkali Metals Limited,Basic Materials,Specialty Chemicals,820648576,INR,NSE,EQUITY,
ALKYLAMINE.NS,ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Specialty Chemicals,81272889344,INR,NSE,EQUITY,
AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,1356527566848,INR,NSE,EQUITY,
AMNPLST.NS,AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals,11298357248,INR,NSE,EQUITY,
ANDHRAPAP.NS,ANDHRAPAP,Andhra Paper Limited,Basic Materials,Paper & Paper Products,13454204928,INR,NSE,EQUITY,
ANDHRSUGAR.NS,ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals,10273504256,INR,NSE,EQUITY,
ANKITMETAL.NS,ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Steel,241298960,INR,NSE,EQUITY,
ANURAS.NS,ANURAS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals,150435758080,INR,NSE,EQUITY,
APCL.NS,APCL,Anjani Portland Cement Limited,Basic Materials,Building Materials,3588304896,INR,NSE,EQUITY,
APCOTEXIND.NS,APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals,19676809216,INR,NSE,EQUITY,
APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel,481286684672,INR,NSE,EQUITY,
ARCHIDPLY.NS,ARCHIDPLY,Archidply Industries Limited,Basic Materials,Lumber & Wood Production,1878037120,INR,NSE,EQUITY,
ARENTERP.NS,ARENTERP,Rajdarshan Industries Limited,Basic Materials,Other Industrial Metals & Mining,149509232,INR,NSE,EQUITY,
ARFIN.NS,ARFIN,Arfin India Limited,Basic Materials,Aluminum,10997013504,INR,NSE,EQUITY,
ARIES.NS,ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs,4281893632,INR,NSE,EQUITY,
ARVEE.NS,ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals,1933238528,INR,NSE,EQUITY,
ASAHISONG.NS,ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,Specialty Chemicals,3675341056,INR,NSE,EQUITY,
ASHAPURMIN.NS,ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Other Industrial Metals & Mining,71740096512,INR,NSE,EQUITY,
ASHOKAMET.NS,ASHOKAMET,Ashoka Metcast Limited,Basic Materials,Steel,382938720,INR,NSE,EQUITY,
ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2675425411072,INR,NSE,EQUITY,
ASTEC.NS,ASTEC,Astec LifeSciences Limited,Basic Materials,Agricultural Inputs,16046139392,INR,NSE,EQUITY,
ASTRON.NS,ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper & Paper Products,297332128,INR,NSE,EQUITY,
ATUL.NS,ATUL,Atul Ltd,Basic Materials,Specialty Chemicals,169569796096,INR,NSE,EQUITY,
AVTNPL.NS,AVTNPL,AVT Natural Products Limited,Basic Materials,Specialty Chemicals,10311149568,INR,NSE,EQUITY,
BALAMINES.NS,BALAMINES,Balaji Amines Limited,Basic Materials,Specialty Chemicals,35942887424,INR,NSE,EQUITY,
BANSALWIRE.NS,BANSALWIRE,BANSAL WIRE INDUSTRIES L,Basic Materials,Steel,49182982144,INR,NSE,EQUITY,
BASF.NS,BASF,BASF India Limited,Basic Materials,Specialty Chemicals,168649506816,INR,NSE,EQUITY,
BAYERCROP.NS,BAYERCROP,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,196617158656,INR,NSE,EQUITY,
BEDMUTHA.NS,BEDMUTHA,Bedmutha Industries Limited,Basic Materials,Steel,3386105856,INR,NSE,EQUITY,
BEPL.NS,BEPL,Bhansali Engineering Polymers Limited,Basic Materials,Chemicals,22021484544,INR,NSE,EQUITY,
BERGEPAINT.NS,BERGEPAINT,Berger Paints India Limited,Basic Materials,Specialty Chemicals,629641445376,INR,NSE,EQUITY,
BESTAGRO.NS,BESTAGRO,Best Agrolife Limited,Basic Materials,Agricultural Inputs,9700254720,INR,NSE,EQUITY,
BHAGCHEM.NS,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Agricultural Inputs,29845932032,INR,NSE,EQUITY,
BHAGERIA.NS,BHAGERIA,Bhageria Industries Limited,Basic Materials,Specialty Chemicals,7849347584,INR,NSE,EQUITY,
BHAGYANGR.NS,BHAGYANGR,Bhagyanagar India Limited,Basic Materials,Copper,4412110336,INR,NSE,EQUITY,
BHARATRAS.NS,BHARATRAS,Bharat Rasayan Limited,Basic Materials,Agricultural Inputs,40044388352,INR,NSE,EQUITY,
BHARATWIRE.NS,BHARATWIRE,Bharat Wire Ropes Limited,Basic Materials,Steel,12437826560,INR,NSE,EQUITY,
BILVYAPAR.NS,BILVYAPAR,BIL Vyapar Limited,Basic Materials,Specialty Chemicals,227404768,INR,NSE,EQUITY,
BIRLACORPN.NS,BIRLACORPN,Birla Corporation Limited,Basic Materials,Building Materials,82916655104,INR,NSE,EQUITY,
BMWVENTLTD.NS,BMWVENTLTD,BMW VENTURES LIMITED,Basic Materials,Steel,5218508800,INR,NSE,EQUITY,
