ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
AFFLE.NS,AFFLE,Affle 3i Limited,Communication Services,Advertising Agencies,240518758400,INR,NSE,EQUITY,
BAGFILMS.NS,BAGFILMS,B.A.G. Films and Media Limited,Communication Services,Broadcasting,1276571648,INR,NSE,EQUITY,
BALAJITELE.NS,BALAJITELE,Balaji Telefilms Limited,Communication Services,Entertainment,12730392576,INR,NSE,EQUITY,
BCG.NS,BCG,Brightcom Group Limited,Communication Services,Advertising Agencies,22203740160,INR,NSE,EQUITY,
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,12803449552896,INR,NSE,EQUITY,
BHARTIHEXA.NS,BHARTIHEXA,BHARTI HEXACOM LIMITED,Communication Services,Telecom Services,871799980032,INR,NSE,EQUITY,
BTML.NS,BTML,Bodhi Tree Multimedia Limited,Communication Services,Entertainment,1490911616,INR,NSE,EQUITY,
CINELINE.NS,CINELINE,Cineline India Limited,Communication Services,Entertainment,3126811904,INR,NSE,EQUITY,
CINEVISTA.NS,CINEVISTA,Cinevista Limited,Communication Services,Entertainment,846039296,INR,NSE,EQUITY,
CREATIVEYE.NS,CREATIVEYE,Creative Eye Limited,Communication Services,Entertainment,145496784,INR,NSE,EQUITY,
CYBERMEDIA.NS,CYBERMEDIA,Cyber Media (India) Limited,Communication Services,Publishing,343482080,INR,NSE,EQUITY,
DBCORP.NS,DBCORP,D. B. Corp Limited,Communication Services,Publishing,45585481728,INR,NSE,EQUITY,
DEN.NS,DEN,DEN Networks Limited,Communication Services,Entertainment,14884631552,INR,NSE,EQUITY,
DGCONTENT.NS,DGCONTENT,Digicontent Limited,Communication Services,Internet Content & Information,1867741568,INR,NSE,EQUITY,
DISHTV.NS,DISHTV,Dish TV India Limited,Communication Services,Entertainment,7380210176,INR,NSE,EQUITY,
DNAMEDIA.NS,DNAMEDIA,Diligent Media Corporation Limited,Communication Services,Publishing,461415424,INR,NSE,EQUITY,
ENIL.NS,ENIL,Entertainment Network (India) Limited,Communication Services,Broadcasting,5435380736,INR,NSE,EQUITY,
GTL.NS,GTL,GTL Limited,Communication Services,Telecom Services,1285114752,INR,NSE,EQUITY,
GTPL.NS,GTPL,GTPL Hathway Limited,Communication Services,Entertainment,11602811904,INR,NSE,EQUITY,
HATHWAY.NS,HATHWAY,Hathway Cable and Datacom Limited,Communication Services,Entertainment,22267914240,INR,NSE,EQUITY,
HMVL.NS,HMVL,Hindustan Media Ventures Limited,Communication Services,Publishing,4815956480,INR,NSE,EQUITY,
HTMEDIA.NS,HTMEDIA,HT Media Limited,Communication Services,Publishing,5144557568,INR,NSE,EQUITY,
IDEA.NS,IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,1220358438912,INR,NSE,EQUITY,
IMAGICAA.NS,IMAGICAA,Imagicaaworld Entertainment Limited,Communication Services,Entertainment,28264374272,INR,NSE,EQUITY,
INDIAMART.NS,INDIAMART,IndiaMART InterMESH Limited,Communication Services,Internet Content & Information,133466431488,INR,NSE,EQUITY,
INDUSTOWER.NS,INDUSTOWER,Indus Towers Limited,Communication Services,Telecom Services,1076346683392,INR,NSE,EQUITY,
JAGRAN.NS,JAGRAN,Jagran Prakashan Limited,Communication Services,Publishing,15170501632,INR,NSE,EQUITY,
JUSTDIAL.NS,JUSTDIAL,Just Dial Limited,Communication Services,Internet Content & Information,60283904000,INR,NSE,EQUITY,
MATRIMONY.NS,MATRIMONY,Matrimony.com Limited,Communication Services,Internet Content & Information,11230337024,INR,NSE,EQUITY,
MPSLTD.NS,MPSLTD,MPS Limited,Communication Services,Publishing,33994637312,INR,NSE,EQUITY,
MTNL.NS,MTNL,Mahanagar Telephone Nigam Limited,Communication Services,Telecom Services,23114698752,INR,NSE,EQUITY,
MUKTAARTS.NS,MUKTAARTS,Mukta Arts Limited,Communication Services,Entertainment,1379001600,INR,NSE,EQUITY,
NAUKRI.NS,NAUKRI,Info Edge (India) Limited,Communication Services,Internet Content & Information,872023654400,INR,NSE,EQUITY,
NAVNETEDUL.NS,NAVNETEDUL,Navneet Education Limited,Communication Services,Publishing,31445452800,INR,NSE,EQUITY,
NAZARA.NS,NAZARA,Nazara Technologies Limited,Communication Services,Electronic Gaming & Multimedia,90983530496,INR,NSE,EQUITY,
NDLVENTURE.NS,NDLVENTURE,NDL Ventures Limited,Communication Services,Entertainment,2946940160,INR,NSE,EQUITY,
NDTV.NS,NDTV,New Delhi Television Limited,Communication Services,Broadcasting,10422747136,INR,NSE,EQUITY,
NETWORK18.NS,NETWORK18,Network18 Media & Investments Limited,Communication Services,Entertainment,65591328768,INR,NSE,EQUITY,
NEXTMEDIA.NS,NEXTMEDIA,Next Mediaworks Limited,Communication Services,Broadcasting,430025856,INR,NSE,EQUITY,
ODIGMA.NS,ODIGMA,Odigma Consultancy Solutions Limited,Communication Services,Advertising Agencies,986922944,INR,NSE,EQUITY,
ONMOBILE.NS,ONMOBILE,OnMobile Global Limited,Communication Services,Telecom Services,6427125760,INR,NSE,EQUITY,
PFOCUS.NS,PFOCUS,Prime Focus Limited,Communication Services,Entertainment,165223907328,INR,NSE,EQUITY,
PNC.NS,PNC,Pritish Nandy Communications Ltd,Communication Services,Entertainment,385400864,INR,NSE,EQUITY,
PVRINOX.NS,PVRINOX,PVR INOX Limited,Communication Services,Entertainment,106095501312,INR,NSE,EQUITY,
RADAAN.NS,RADAAN,Radaan Mediaworks India Limited,Communication Services,Entertainment,209063536,INR,NSE,EQUITY,
RADIOCITY.NS,RADIOCITY,Music Broadcast Limited,Communication Services,Broadcasting,2315238144,INR,NSE,EQUITY,
RAILTEL.NS,RAILTEL,RailTel Corporation of India Limited,Communication Services,Telecom Services,106491994112,INR,NSE,EQUITY,
RAJTV.NS,RAJTV,Raj Television Network Limited,Communication Services,Broadcasting,2067838720,INR,NSE,EQUITY,
RCOM.NS,RCOM,Reliance Communications Limited,Communication Services,Telecom Services,3289674752,INR,NSE,EQUITY,
RKSWAMY.NS,RKSWAMY,R K SWAMY LIMITED,Communication Services,Advertising Agencies,5714023424,INR,NSE,EQUITY,
ROUTE.NS,ROUTE,Route Mobile Limited,Communication Services,Telecom Services,43817967616,INR,NSE,EQUITY,
SABEVENTS.NS,SABEVENTS,SAB Events & Governance Now Media Limited,Communication Services,Publishing,84918064,INR,NSE,EQUITY,
SABTNL.NS,SABTNL,SRI ADHIKARI BRO TELE N L,Communication Services,Broadcasting,43017478144,INR,NSE,EQUITY,
SAMBHAAV.NS,SAMBHAAV,Sambhaav Media Limited,Communication Services,Publishing,1929111552,INR,NSE,EQUITY,
SANDESH.NS,SANDESH,The Sandesh Limited,Communication Services,Publishing,8186328576,INR,NSE,EQUITY,
SAREGAMA.NS,SAREGAMA,Saregama India Limited,Communication Services,Entertainment,72896954368,INR,NSE,EQUITY,
SCHAND.NS,SCHAND,S Chand And Company Limited,Communication Services,Publishing,5860827648,INR,NSE,EQUITY,
SHEMAROO.NS,SHEMAROO,Shemaroo Entertainment Limited,Communication Services,Entertainment,2889668096,INR,NSE,EQUITY,
SIGNPOST.NS,SIGNPOST,Signpost India Limited,Communication Services,Advertising Agencies,11797484544,INR,NSE,EQUITY,
SILLYMONKS.NS,SILLYMONKS,Silly Monks Entertainment Limited,Communication Services,Entertainment,242926832,INR,NSE,EQUITY,
SITINET.NS,SITINET,SITI Networks Limited,Communication Services,Entertainment,371570784,INR,NSE,EQUITY,
STLNETWORK.NS,STLNETWORK,STL NETWORKS LIMITED,Communication Services,Telecom Services,11178677248,INR,NSE,EQUITY,
SUNTV.NS,SUNTV,Sun TV Network Limited,Communication Services,Broadcasting,219603648512,INR,NSE,EQUITY,
SUYOG.NS,SUYOG,Suyog Telematics Limited,Communication Services,Telecom Services,7616128000,INR,NSE,EQUITY,
TATACOMM.NS,TATACOMM,Tata Communications Limited,Communication Services,Telecom Services,520068005888,INR,NSE,EQUITY,
TIPSFILMS.NS,TIPSFILMS,Tips Films Limited,Communication Services,Entertainment,1845656192,INR,NSE,EQUITY,
TIPSMUSIC.NS,TIPSMUSIC,Tips Music Limited,Communication Services,Entertainment,70728851456,INR,NSE,EQUITY,
TOUCHWOOD.NS,TOUCHWOOD,Touchwood Entertainment Limited,Communication Services,Advertising Agencies,1165414656,INR,NSE,EQUITY,
TTML.NS,TTML,Tata Teleservices (Maharashtra) Limited,Communication Services,Telecom Services,100405092352,INR,NSE,EQUITY,
TVTODAY.NS,TVTODAY,T.V. Today Network Limited,Communication Services,Broadcasting,8008125440,INR,NSE,EQUITY,
TVVISION.NS,TVVISION,TV Vision Limited,Communication Services,Broadcasting,413564128,INR,NSE,EQUITY,
UFO.NS,UFO,UFO Moviez India Limited,Communication Services,Entertainment,3121483008,INR,NSE,EQUITY,
UNIINFO.NS,UNIINFO,Uniinfo Telecom Services Limited,Communication Services,Telecom Services,176115696,INR,NSE,EQUITY,
ZEEL.NS,ZEEL,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting,89068969984,INR,NSE,EQUITY,
ZEEMEDIA.NS,ZEEMEDIA,Zee Media Corporation Limited,Communication Services,Broadcasting,5662925824,INR,NSE,EQUITY,
