ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
ABDL.NS,ABDL,ALLIED BLEND N DISTILS L,Consumer Defensive,Beverages - Wineries & Distilleries,174385299456,INR,NSE,EQUITY,
ADFFOODS.NS,ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods,23954657280,INR,NSE,EQUITY,
AGRITECH.NS,AGRITECH,Agri-tech (India) Limited,Consumer Defensive,Farm Products,1001008832,INR,NSE,EQUITY,
AJOONI.NS,AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods,750982144,INR,NSE,EQUITY,
ALLTIME.NS,ALLTIME,ALL TIME PLASTICS LIMITED,Consumer Defensive,Household & Personal Products,17074600960,INR,NSE,EQUITY,
AMBICAAGAR.NS,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,Household & Personal Products,438963680,INR,NSE,EQUITY,
ANIKINDS.NS,ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution,1483353984,INR,NSE,EQUITY,
APEX.NS,APEX,Apex Frozen Foods Limited,Consumer Defensive,Farm Products,8235633152,INR,NSE,EQUITY,
APTECHT.NS,APTECHT,Aptech Limited,Consumer Defensive,Education & Training Services,5749317120,INR,NSE,EQUITY,
ASALCBR.NS,ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive,Beverages - Wineries & Distilleries,18274398208,INR,NSE,EQUITY,
ASPINWALL.NS,ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,Farm Products,1837297664,INR,NSE,EQUITY,
AVADHSUGAR.NS,AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,Confectioners,7838212096,INR,NSE,EQUITY,
AVANTIFEED.NS,AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,Packaged Foods,112927801344,INR,NSE,EQUITY,
AWL.NS,AWL,AWL Agri Business Limited,Consumer Defensive,Packaged Foods,314883276800,INR,NSE,EQUITY,
BAJAJCON.NS,BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,Household & Personal Products,34948464640,INR,NSE,EQUITY,
BAJAJHIND.NS,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,Confectioners,23345123328,INR,NSE,EQUITY,
BALRAMCHIN.NS,BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,Confectioners,89565020160,INR,NSE,EQUITY,
