ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
AAKASH.NS,AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,895049984,INR,NSE,EQUITY,
ABAN.NS,ABAN,Aban Offshore Limited,Energy,Oil & Gas Drilling,1604462720,INR,NSE,EQUITY,
ADANIENT.NS,ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2905820626944,INR,NSE,EQUITY,
AEGISLOG.NS,AEGISLOG,AEGIS LOGISTICS LIMITED,Energy,Oil & Gas Refining & Marketing,260366188544,INR,NSE,EQUITY,
AEGISVOPAK.NS,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,Energy,Oil & Gas Equipment & Services,282205454336,INR,NSE,EQUITY,
ALPHAGEO.NS,ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services,1391401728,INR,NSE,EQUITY,
ANMOL.NS,ANMOL,Anmol India Limited,Energy,Thermal Coal,802993088,INR,NSE,EQUITY,
ANTELOPUS.NS,ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,Energy,Oil & Gas E&P,14782256128,INR,NSE,EQUITY,
ASIANENE.NS,ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas Equipment & Services,12623148032,INR,NSE,EQUITY,
BPCL.NS,BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,1597220847616,INR,NSE,EQUITY,
CASTROLIND.NS,CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,180673101824,INR,NSE,EQUITY,
CHENNPETRO.NS,CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,136410603520,INR,NSE,EQUITY,
COALINDIA.NS,COALINDIA,Coal India Limited,Energy,Thermal Coal,2351697231872,INR,NSE,EQUITY,
CONFIPET.NS,CONFIPET,Confidence Petroleum India Limited,Energy,Oil & Gas Refining & Marketing,11668305920,INR,NSE,EQUITY,
DEEPINDS.NS,DEEPINDS,Deep Industries Limited,Energy,Oil & Gas E&P,29090705408,INR,NSE,EQUITY,
DOLPHIN.NS,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Energy,Oil & Gas Equipment & Services,16731915264,INR,NSE,EQUITY,
GANDHAR.NS,GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,Oil & Gas Refining & Marketing,13712684032,INR,NSE,EQUITY,
GMDCLTD.NS,GMDCLTD,Gujarat Mineral Development Corporation Limited,Energy,Thermal Coal,165931827200,INR,NSE,EQUITY,
GMRP&UI.NS,GMRP&UI,GMR Power And Urban Infra Limited,Energy,Thermal Coal,82832375808,INR,NSE,EQUITY,
GULFPETRO.NS,GULFPETRO,GP Petroleums Limited,Energy,Oil & Gas Refining & Marketing,1841813504,INR,NSE,EQUITY,
HINDOILEXP.NS,HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy,Oil & Gas E&P,20702687232,INR,NSE,EQUITY,
HINDPETRO.NS,HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,990182178816,INR,NSE,EQUITY,
IOC.NS,IOC,Indian Oil Corporation Limited,Energy,Oil & Gas Refining & Marketing,2368696745984,INR,NSE,EQUITY,
JINDRILL.NS,JINDRILL,Jindal Drilling & Industries Limited,Energy,Oil & Gas Equipment & Services,14893389824,INR,NSE,EQUITY,
LIKHITHA.NS,LIKHITHA,Likhitha Infrastructure Limited,Energy,Oil & Gas Equipment & Services,7315618816,INR,NSE,EQUITY,
MRPL.NS,MRPL,Mangalore Refinery and Petrochemicals Limited,Energy,Oil & Gas Refining & Marketing,260628971520,INR,NSE,EQUITY,
OIL.NS,OIL,Oil India Limited,Energy,Oil & Gas Integrated,653408337920,INR,NSE,EQUITY,
OILCOUNTUB.NS,OILCOUNTUB,Oil Country Tubular Limited,Energy,Oil & Gas Equipment & Services,3359043328,INR,NSE,EQUITY,
ONGC.NS,ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,2921876684800,INR,NSE,EQUITY,
PANAMAPET.NS,PANAMAPET,Panama Petrochem Limited,Energy,Oil & Gas Refining & Marketing,16553113600,INR,NSE,EQUITY,
PETRONET.NS,PETRONET,Petronet LNG Limited,Energy,Oil & Gas Refining & Marketing,397334872064,INR,NSE,EQUITY,
PRABHA.NS,PRABHA,Prabha Energy Limited,Energy,Oil & Gas E&P,25568690176,INR,NSE,EQUITY,
REFEX.NS,REFEX,Refex Industries Limited,Energy,Thermal Coal,41926672384,INR,NSE,EQUITY,
RELIANCE.NS,RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,20871901085696,INR,NSE,EQUITY,
SOUTHWEST.NS,SOUTHWEST,South West Pinnacle Exploration Limited,Energy,Oil & Gas Equipment & Services,5668397568,INR,NSE,EQUITY,
TRUALT.NS,TRUALT,TRUALT BIOENERGY LIMITED,Energy,Oil & Gas Refining & Marketing,37451800576,INR,NSE,EQUITY,
UNIDT.NS,UNIDT,United Drilling Tools Limited,Energy,Oil & Gas Equipment & Services,4100271360,INR,NSE,EQUITY,
