ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
21STCENMGM.NS,21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,490140000,INR,NSE,EQUITY,
360ONE.NS,360ONE,360 One Wam Limited,Financial Services,Asset Management,459092426752,INR,NSE,EQUITY,
5PAISA.NS,5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,9715148800,INR,NSE,EQUITY,
AADHARHFC.NS,AADHARHFC,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,212967800832,INR,NSE,EQUITY,
AAVAS.NS,AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,117739937792,INR,NSE,EQUITY,
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,910418509824,INR,NSE,EQUITY,
ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,222233772032,INR,NSE,EQUITY,
AFIL.NS,AFIL,AKME FINTRADE (INDIA) LTD,Financial Services,Credit Services,2942843904,INR,NSE,EQUITY,
AFSL.NS,AFSL,Abans Financial Services Limited,Financial Services,Capital Markets,10182933504,INR,NSE,EQUITY,
AIIL.NS,AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,477742596096,INR,NSE,EQUITY,
ALMONDZ.NS,ALMONDZ,Almondz Global Securities Limited,Financial Services,Capital Markets,2657511168,INR,NSE,EQUITY,
ANANDRATHI.NS,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Asset Management,248595513344,INR,NSE,EQUITY,
ANGELONE.NS,ANGELONE,Angel One Limited,Financial Services,Capital Markets,230041518080,INR,NSE,EQUITY,
APTUS.NS,APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,144961077248,INR,NSE,EQUITY,
ARIHANTCAP.NS,ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets,10051471360,INR,NSE,EQUITY,
ARMANFIN.NS,ARMANFIN,Arman Financial Services Limited,Financial Services,Credit Services,15968432128,INR,NSE,EQUITY,
ARSSBL.NS,ARSSBL,ANAND RATHI SH N STK BR L,Financial Services,Financial Conglomerates,37127077888,INR,NSE,EQUITY,
AUBANK.NS,AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional,730959708160,INR,NSE,EQUITY,
AUSOMENT.NS,AUSOMENT,AuSom Enterprise Limited,Financial Services,Capital Markets,1467120384,INR,NSE,EQUITY,
AVONMORE.NS,AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Capital Markets,4608066048,INR,NSE,EQUITY,
AXISBANK.NS,AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,3785934241792,INR,NSE,EQUITY,
BAIDFIN.NS,BAIDFIN,Baid Finserv Limited,Financial Services,Credit Services,1759000704,INR,NSE,EQUITY,
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,3249491148800,INR,NSE,EQUITY,
BAJAJHFL.NS,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Financial Services,Mortgage Finance,794882408448,INR,NSE,EQUITY,
BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,1233853349888,INR,NSE,EQUITY,
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,6205190701056,INR,NSE,EQUITY,
BANDHANBNK.NS,BANDHANBNK,Bandhan Bank Limited,Financial Services,Banks - Regional,241106206720,INR,NSE,EQUITY,
BANKBARODA.NS,BANKBARODA,Bank of Baroda Limited,Financial Services,Banks - Regional,1463059349504,INR,NSE,EQUITY,
BANKINDIA.NS,BANKINDIA,Bank of India Limited,Financial Services,Banks - Regional,634550812672,INR,NSE,EQUITY,
BFINVEST.NS,BFINVEST,BF Investment Limited,Financial Services,Asset Management,15549196288,INR,NSE,EQUITY,
