ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
AAREYDRUGS.NS,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1918452352,INR,NSE,EQUITY,
AARTIDRUGS.NS,AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,35400122368,INR,NSE,EQUITY,
AARTIPHARM.NS,AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,68434178048,INR,NSE,EQUITY,
ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,590836858880,INR,NSE,EQUITY,
AGARWALEYE.NS,AGARWALEYE,DR AGARWALS HEALTH CARE L,Healthcare,Medical Instruments & Supplies,155529199616,INR,NSE,EQUITY,
AHCL.NS,AHCL,ANLON HEALTHCARE LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,7412508672,INR,NSE,EQUITY,
AJANTPHARM.NS,AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,324472438784,INR,NSE,EQUITY,
AKUMS.NS,AKUMS,AKUMS DRUGS AND PHARMA L,Healthcare,Drug Manufacturers - Specialty & Generic,64490283008,INR,NSE,EQUITY,
ALBERTDAVD.NS,ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4273105408,INR,NSE,EQUITY,
ALIVUS.NS,ALIVUS,Alivus Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,111878799360,INR,NSE,EQUITY,
ALKEM.NS,ALKEM,Alkem Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,677156356096,INR,NSE,EQUITY,
ALPA.NS,ALPA,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1645858944,INR,NSE,EQUITY,
AMANTA.NS,AMANTA,AMANTA HEALTHCARE LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,4039805696,INR,NSE,EQUITY,
AMRUTANJAN.NS,AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Drug Manufacturers - Specialty & Generic,19766181888,INR,NSE,EQUITY,
ANTHEM.NS,ANTHEM,ANTHEM BIOSCIENCES LTD,Healthcare,Biotechnology,378384777216,INR,NSE,EQUITY,
ANUHPHR.NS,ANUHPHR,Anuh Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,7905606656,INR,NSE,EQUITY,
APLLTD.NS,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,166518456320,INR,NSE,EQUITY,
APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,1013897494528,INR,NSE,EQUITY,
ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited,Healthcare,Medical Care Facilities,313020252160,INR,NSE,EQUITY,
ASTRAZEN.NS,ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,225723187200,INR,NSE,EQUITY,
AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,684242370560,INR,NSE,EQUITY,
BAFNAPH.NS,BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,3339091712,INR,NSE,EQUITY,
BAJAJHCARE.NS,BAJAJHCARE,Bajaj HealthCare Limited,Healthcare,Drug Manufacturers - Specialty & Generic,12979137536,INR,NSE,EQUITY,
BALAXI.NS,BALAXI,Balaxi Pharmaceuticals Limited,Healthcare,Biotechnology,1585007232,INR,NSE,EQUITY,
BALPHARMA.NS,BALPHARMA,Bal Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1170712320,INR,NSE,EQUITY,
BETA.NS,BETA,BETA DRUGS LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,16220939264,INR,NSE,EQUITY,
BIOCON.NS,BIOCON,Biocon Limited,Healthcare,Biotechnology,513870725120,INR,NSE,EQUITY,
BIOFILCHEM.NS,BIOFILCHEM,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,563700032,INR,NSE,EQUITY,
BLISSGVS.NS,BLISSGVS,Bliss GVS Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,15187049472,INR,NSE,EQUITY,
BLUEJET.NS,BLUEJET,Blue Jet Healthcare Limited,Healthcare,Biotechnology,94048100352,INR,NSE,EQUITY,
BROOKS.NS,BROOKS,Brooks Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2878232320,INR,NSE,EQUITY,
CAPLIPOINT.NS,CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,148042547200,INR,NSE,EQUITY,
CIPLA.NS,CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1211333607424,INR,NSE,EQUITY,
COHANCE.NS,COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,Drug Manufacturers - Specialty & Generic,205916766208,INR,NSE,EQUITY,
CONCORDBIO.NS,CONCORDBIO,Concord Biotech Limited,Healthcare,Biotechnology,144338239488,INR,NSE,EQUITY,
CORONA.NS,CORONA,N/A,Healthcare,Drug Manufacturers - General,0,INR,NSE,EQUITY,
DCAL.NS,DCAL,Dishman Carbogen Amcis Limited,Healthcare,Biotechnology,36268830720,INR,NSE,EQUITY,
DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1681876189184,INR,NSE,EQUITY,
DRREDDY.NS,DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1063092289536,INR,NSE,EQUITY,
EMCURE.NS,EMCURE,EMCURE PHARMACEUTICALS L,Healthcare,Drug Manufacturers - Specialty & Generic,261864882176,INR,NSE,EQUITY,
ENTERO.NS,ENTERO,Entero Healthcare Solutions Limited,Healthcare,Medical Distribution,43432615936,INR,NSE,EQUITY,
ERIS.NS,ERIS,Eris Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,212062470144,INR,NSE,EQUITY,
FABTECH.NS,FABTECH,FABTECH TECHNOLOGIES LTD,Healthcare,Health Information Services,9930752000,INR,NSE,EQUITY,
FDC.NS,FDC,FDC Limited,Healthcare,Drug Manufacturers - Specialty & Generic,68518621184,INR,NSE,EQUITY,
FISCHER.NS,FISCHER,Fischer Medical Ventures Limited,Healthcare,Medical Devices,28346183680,INR,NSE,EQUITY,
FORTIS.NS,FORTIS,Fortis Healthcare Limited,Healthcare,Medical Care Facilities,660838744064,INR,NSE,EQUITY,
GLAND.NS,GLAND,Gland Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,274237046784,INR,NSE,EQUITY,
GLAXO.NS,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General,437999304704,INR,NSE,EQUITY,
GLENMARK.NS,GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,554947903488,INR,NSE,EQUITY,
GPTHEALTH.NS,GPTHEALTH,GPT Healthcare Limited,Healthcare,Medical Care Facilities,11520496640,INR,NSE,EQUITY,
GRANULES.NS,GRANULES,Granules India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,139303976960,INR,NSE,EQUITY,
GUFICBIO.NS,GUFICBIO,Gufic Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,35264339968,INR,NSE,EQUITY,
GUJTHEM.NS,GUJTHEM,Gujarat Themis Biosyn Limited,Healthcare,Drug Manufacturers - Specialty & Generic,42848182272,INR,NSE,EQUITY,
HALEOSLABS.NS,HALEOSLABS,Haleos Labs Limited,Healthcare,Biotechnology,4126786816,INR,NSE,EQUITY,
HCG.NS,HCG,HealthCare Global Enterprises Limited,Healthcare,Medical Care Facilities,101731565568,INR,NSE,EQUITY,
HESTERBIO.NS,HESTERBIO,Hester Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,13503797248,INR,NSE,EQUITY,
HIKAL.NS,HIKAL,Hikal Limited,Healthcare,Drug Manufacturers - Specialty & Generic,29938438144,INR,NSE,EQUITY,
IKS.NS,IKS,INVENTURUS KNOWLEDGE SO L,Healthcare,Health Information Services,281151242240,INR,NSE,EQUITY,
INDGN.NS,INDGN,INDEGENE LIMITED,Healthcare,Health Information Services,126061305856,INR,NSE,EQUITY,
INDOCO.NS,INDOCO,Indoco Remedies Limited,Healthcare,Drug Manufacturers - Specialty & Generic,22565818368,INR,NSE,EQUITY,
INDRAMEDCO.NS,INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare,Medical Care Facilities,44862013440,INR,NSE,EQUITY,
INDSWFTLAB.NS,INDSWFTLAB,Ind-Swift Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,7805365248,INR,NSE,EQUITY,
INNOVACAP.NS,INNOVACAP,Innova Captab Limited,Healthcare,Drug Manufacturers - Specialty & Generic,39948722176,INR,NSE,EQUITY,
IOLCP.NS,IOLCP,IOL Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,23995875328,INR,NSE,EQUITY,
IPCALAB.NS,IPCALAB,Ipca Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,363713298432,INR,NSE,EQUITY,
JAGSNPHARM.NS,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,13238840320,INR,NSE,EQUITY,
JBCHEPHARM.NS,JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,279559307264,INR,NSE,EQUITY,
JLHL.NS,JLHL,Jupiter Life Line Hospitals Limited,Healthcare,Medical Care Facilities,92495536128,INR,NSE,EQUITY,
JSLL.NS,JSLL,JEENA SIKHO LIFECARE LTD,Healthcare,Medical Care Facilities,93362274304,INR,NSE,EQUITY,
JUBLPHARMA.NS,JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,Drug Manufacturers - Specialty & Generic,168023359488,INR,NSE,EQUITY,
KILITCH.NS,KILITCH,Kilitch Drugs (India) Limited,Healthcare,Drug Manufacturers - Specialty & Generic,5891897344,INR,NSE,EQUITY,
KIMS.NS,KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,Medical Care Facilities,262591184896,INR,NSE,EQUITY,
KOPRAN.NS,KOPRAN,Kopran Limited,Healthcare,Drug Manufacturers - General,6294511616,INR,NSE,EQUITY,
KREBSBIO.NS,KREBSBIO,Krebs Biochemicals & Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1553607552,INR,NSE,EQUITY,
KRSNAA.NS,KRSNAA,Krsnaa Diagnostics Limited,Healthcare,Diagnostics & Research,24093671424,INR,NSE,EQUITY,
LALPATHLAB.NS,LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare,Diagnostics & Research,236395528192,INR,NSE,EQUITY,
