ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
ABREL.NS,ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,187969945600,INR,NSE,EQUITY,
AGIIL.NS,AGIIL,AGI Infra Limited,Real Estate,Real Estate - Development,32614563840,INR,NSE,EQUITY,
AJMERA.NS,AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate - Development,38111444992,INR,NSE,EQUITY,
ALEMBICLTD.NS,ALEMBICLTD,Alembic Limited,Real Estate,Real Estate - Development,26281619456,INR,NSE,EQUITY,
AMJLAND.NS,AMJLAND,AMJ Land Holdings Limited,Real Estate,Real Estate - Development,2089360000,INR,NSE,EQUITY,
ANANTRAJ.NS,ANANTRAJ,Anant Raj Limited,Real Estate,Real Estate - Development,194063630336,INR,NSE,EQUITY,
ANSALAPI.NS,ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Real Estate - Development,572486336,INR,NSE,EQUITY,
ARIHANTSUP.NS,ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate - Development,13552385024,INR,NSE,EQUITY,
ARKADE.NS,ARKADE,ARKADE DEVELOPERS LIMITED,Real Estate,Real Estate - Development,24685836288,INR,NSE,EQUITY,
ARTNIRMAN.NS,ARTNIRMAN,Art Nirman Limited,Real Estate,Real Estate - Development,1249796480,INR,NSE,EQUITY,
ARVSMART.NS,ARVSMART,Arvind SmartSpaces Limited,Real Estate,Real Estate - Development,27754981376,INR,NSE,EQUITY,
ASHIANA.NS,ASHIANA,Ashiana Housing Limited,Real Estate,Real Estate - Development,28880789504,INR,NSE,EQUITY,
ASHIMASYN.NS,ASHIMASYN,Ashima Limited,Real Estate,Real Estate - Development,3423049216,INR,NSE,EQUITY,
AURUM.NS,AURUM,Aurum PropTech Limited,Real Estate,Real Estate Services,12433230848,INR,NSE,EQUITY,
BRIGADE.NS,BRIGADE,Brigade Enterprises Limited,Real Estate,Real Estate - Development,210052661248,INR,NSE,EQUITY,
CORALFINAC.NS,CORALFINAC,Coral India Finance and Housing Limited,Real Estate,Real Estate Services,1579847168,INR,NSE,EQUITY,
COUNCODOS.NS,COUNCODOS,Country Condo's Limited,Real Estate,Real Estate - Development,460681408,INR,NSE,EQUITY,
DBREALTY.NS,DBREALTY,Valor Estate Limited,Real Estate,Real Estate - Development,63626121216,INR,NSE,EQUITY,
DEVX.NS,DEVX,Dev Accelerator Limited,Real Estate,Real Estate Services,3926764800,INR,NSE,EQUITY,
DHARAN.NS,DHARAN,Dharan Infra-EPC Limited,Real Estate,Real Estate - Development,1596147328,INR,NSE,EQUITY,
DLF.NS,DLF,DLF Limited,Real Estate,Real Estate - Development,1713272520704,INR,NSE,EQUITY,
EFCIL.NS,EFCIL,EFC (I) Limited,Real Estate,Real Estate Services,41205604352,INR,NSE,EQUITY,
ELDEHSG.NS,ELDEHSG,Eldeco Housing and Industries Limited,Real Estate,Real Estate Services,8871072768,INR,NSE,EQUITY,
EMAMIREAL.NS,EMAMIREAL,Emami Realty Limited,Real Estate,Real Estate - Development,3614103808,INR,NSE,EQUITY,
EMBDL.NS,EMBDL,Embassy Developments Limited,Real Estate,Real Estate - Diversified,89768361984,INR,NSE,EQUITY,
EUROTEXIND.NS,EUROTEXIND,Eurotex Industries and Exports Limited,Real Estate,Real Estate - Development,137887936,INR,NSE,EQUITY,
FMNL.NS,FMNL,Future Market Networks Limited,Real Estate,Real Estate Services,545007040,INR,NSE,EQUITY,
GANESHHOU.NS,GANESHHOU,Ganesh Housing Limited,Real Estate,Real Estate - Development,67715321856,INR,NSE,EQUITY,
GEECEE.NS,GEECEE,GeeCee Ventures Limited,Real Estate,Real Estate - Development,7160175616,INR,NSE,EQUITY,
GODREJPROP.NS,GODREJPROP,Godrej Properties Limited,Real Estate,Real Estate - Development,609521106944,INR,NSE,EQUITY,
HDIL.NS,HDIL,Housing Development and Infrastructure Limited,Real Estate,Real Estate - Diversified,1132869632,INR,NSE,EQUITY,
HEMIPROP.NS,HEMIPROP,Hemisphere Properties India Limited,Real Estate,Real Estate - Diversified,37226565632,INR,NSE,EQUITY,
HUBTOWN.NS,HUBTOWN,Hubtown Limited,Real Estate,Real Estate - Development,34445197312,INR,NSE,EQUITY,
IBULLSLTD.NS,IBULLSLTD,INDIABULLS LIMITED,Real Estate,Real Estate - Development,41458909184,INR,NSE,EQUITY,
