ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
3IINFOLTD.NS,3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,3342506496,INR,NSE,EQUITY,
63MOONS.NS,63MOONS,63 moons technologies limited,Technology,Software - Application,34936528896,INR,NSE,EQUITY,
AAATECH.NS,AAATECH,AAA Technologies Limited,Technology,Information Technology Services,1288195584,INR,NSE,EQUITY,
ACCELYA.NS,ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,19583612928,INR,NSE,EQUITY,
ADROITINFO.NS,ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services,584584320,INR,NSE,EQUITY,
ADSL.NS,ADSL,Allied Digital Services Limited,Technology,Information Technology Services,8822985728,INR,NSE,EQUITY,
AGSTRA.NS,AGSTRA,AGS Transact Technologies Limited,Technology,Software - Infrastructure,539782592,INR,NSE,EQUITY,
AIRAN.NS,AIRAN,Airan Limited,Technology,Information Technology Services,2284115456,INR,NSE,EQUITY,
AKSHOPTFBR.NS,AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment,1072099136,INR,NSE,EQUITY,
ALANKIT.NS,ALANKIT,Alankit Limited,Technology,Information Technology Services,2916725248,INR,NSE,EQUITY,
ASMS.NS,ASMS,Bartronics India Limited,Technology,Information Technology Services,3682332672,INR,NSE,EQUITY,
ASTRAMICRO.NS,ASTRAMICRO,Astra Microwave Products Limited,Technology,Communication Equipment,84173496320,INR,NSE,EQUITY,
AURIONPRO.NS,AURIONPRO,Aurionpro Solutions Limited,Technology,Software - Infrastructure,61692784640,INR,NSE,EQUITY,
AVALON.NS,AVALON,Avalon Technologies Limited,Technology,Electronic Components,56867401728,INR,NSE,EQUITY,
AVANTEL.NS,AVANTEL,Avantel Limited,Technology,Communication Equipment,39671238656,INR,NSE,EQUITY,
BBOX.NS,BBOX,Black Box Limited,Technology,Software - Application,86937018368,INR,NSE,EQUITY,
BIRLACABLE.NS,BIRLACABLE,Birla Cable Limited,Technology,Communication Equipment,4013400064,INR,NSE,EQUITY,
