ticker,symbol,name,sector,industry,marketCap,currency,exchange,quoteType,isin
ACMESOLAR.NS,ACMESOLAR,ACME SOLAR HOLDINGS LTD,Utilities,Utilities - Renewable,139931009024,INR,NSE,EQUITY,
ADANIENSOL.NS,ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1194435411968,INR,NSE,EQUITY,
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1694225268736,INR,NSE,EQUITY,
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,2802644680704,INR,NSE,EQUITY,
ATGL.NS,ATGL,Adani Total Gas Limited,Utilities,Utilities - Regulated Gas,645478547456,INR,NSE,EQUITY,
BAJEL.NS,BAJEL,Bajel Projects Limited,Utilities,Utilities - Regulated Electric,19268716544,INR,NSE,EQUITY,
CESC.NS,CESC,CESC Limited,Utilities,Utilities - Regulated Electric,225247395840,INR,NSE,EQUITY,
CEWATER.NS,CEWATER,CONCORD ENVIRO SYSTEMS L,Utilities,Utilities - Regulated Water,9489223680,INR,NSE,EQUITY,
DPSCLTD.NS,DPSCLTD,India Power Corporation Limited,Utilities,Utilities - Regulated Electric,9864488960,INR,NSE,EQUITY,
ENERGYDEV.NS,ENERGYDEV,Energy Development Company Limited,Utilities,Utilities - Regulated Electric,948845760,INR,NSE,EQUITY,
ENRIN.NS,ENRIN,Siemens Energy India Limited,Utilities,Utilities - Renewable,1061167890432,INR,NSE,EQUITY,
GAIL.NS,GAIL,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,1106717442048,INR,NSE,EQUITY,
GIPCL.NS,GIPCL,Gujarat Industries Power Company Limited,Utilities,Utilities - Regulated Electric,23048015872,INR,NSE,EQUITY,
GKENERGY.NS,GKENERGY,GK ENERGY LIMITED,Utilities,Utilities - Renewable,34217302016,INR,NSE,EQUITY,
GREENPOWER.NS,GREENPOWER,Orient Green Power Company Limited,Utilities,Utilities - Independent Power Producers,14088111104,INR,NSE,EQUITY,
GSPL.NS,GSPL,Gujarat State Petronet Limited,Utilities,Utilities - Regulated Gas,159404113920,INR,NSE,EQUITY,
GUJGASLTD.NS,GUJGASLTD,Gujarat Gas Limited,Utilities,Utilities - Regulated Gas,266364551168,INR,NSE,EQUITY,
GVKPIL.NS,GVKPIL,GVK Power & Infrastructure Limited,Utilities,Utilities - Independent Power Producers,4941376512,INR,NSE,EQUITY,
IGL.NS,IGL,Indraprastha Gas Limited,Utilities,Utilities - Regulated Gas,256923746304,INR,NSE,EQUITY,
INDOWIND.NS,INDOWIND,Indowind Energy Limited,Utilities,Utilities - Renewable,2237824768,INR,NSE,EQUITY,
INOXGREEN.NS,INOXGREEN,Inox Green Energy Services Limited,Utilities,Utilities - Renewable,74180452352,INR,NSE,EQUITY,
IRMENERGY.NS,IRMENERGY,IRM Energy Limited,Utilities,Utilities - Regulated Gas,11634258944,INR,NSE,EQUITY,
JPPOWER.NS,JPPOWER,Jaiprakash Power Ventures Limited,Utilities,Utilities - Independent Power Producers,122678714368,INR,NSE,EQUITY,
JSWENERGY.NS,JSWENERGY,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,835701571584,INR,NSE,EQUITY,
KARMAENG.NS,KARMAENG,Karma Energy Limited,Utilities,Utilities - Renewable,608907648,INR,NSE,EQUITY,
KPIGREEN.NS,KPIGREEN,KPI Green Energy Limited,Utilities,Utilities - Renewable,83918077952,INR,NSE,EQUITY,
MGL.NS,MGL,Mahanagar Gas Limited,Utilities,Utilities - Regulated Gas,109929791488,INR,NSE,EQUITY,
NHPC.NS,NHPC,NHPC Limited,Utilities,Utilities - Renewable,763523104768,INR,NSE,EQUITY,
NLCINDIA.NS,NLCINDIA,NLC India Limited,Utilities,Utilities - Regulated Electric,333627129856,INR,NSE,EQUITY,
NTPC.NS,NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,3112629960704,INR,NSE,EQUITY,
NTPCGREEN.NS,NTPCGREEN,NTPC GREEN ENERGY LIMITED,Utilities,Utilities - Renewable,760644763648,INR,NSE,EQUITY,
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,2421412331520,INR,NSE,EQUITY,
PTC.NS,PTC,PTC India Limited,Utilities,Utilities - Independent Power Producers,47253778432,INR,NSE,EQUITY,
RELINFRA.NS,RELINFRA,Reliance Infrastructure Limited,Utilities,Utilities - Independent Power Producers,61084311552,INR,NSE,EQUITY,
RPOWER.NS,RPOWER,Reliance Power Limited,Utilities,Utilities - Independent Power Producers,143171305472,INR,NSE,EQUITY,
RTNPOWER.NS,RTNPOWER,RattanIndia Power Limited,Utilities,Utilities - Independent Power Producers,50801201152,INR,NSE,EQUITY,
SJVN.NS,SJVN,SJVN Limited,Utilities,Utilities - Renewable,285067345920,INR,NSE,EQUITY,
SURANAT&P.NS,SURANAT&P,Surana Telecom and Power Limited,Utilities,Utilities - Independent Power Producers,2674471424,INR,NSE,EQUITY,
TATAPOWER.NS,TATAPOWER,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1214062133248,INR,NSE,EQUITY,
TORNTPOWER.NS,TORNTPOWER,Torrent Power Limited,Utilities,Utilities - Independent Power Producers,645601230848,INR,NSE,EQUITY,
WAAREERTL.NS,WAAREERTL,Waaree Renewable Technologies Limited,Utilities,Utilities - Renewable,98649972736,INR,NSE,EQUITY,
