ticker,symbol,name,sector,industry,marketCapCr
RELIANCE.NS,RELIANCE,"Reliance Industries Limited","Energy","Oil & Gas Refining & Marketing",2087190
HDFCBANK.NS,HDFCBANK,"HDFC Bank Limited","Financial Services","Banks - Regional",1529479
BHARTIARTL.NS,BHARTIARTL,"Bharti Airtel Limited","Communication Services","Telecom Services",1280345
TCS.NS,TCS,"Tata Consultancy Services Limited","Technology","Information Technology Services",1159633
ICICIBANK.NS,ICICIBANK,"ICICI Bank Limited","Financial Services","Banks - Regional",976703
SBIN.NS,SBIN,"State Bank of India","Financial Services","Banks - Regional",887201
INFY.NS,INFY,"Infosys Limited","Technology","Information Technology Services",644413
BAJFINANCE.NS,BAJFINANCE,"Bajaj Finance Limited","Financial Services","Credit Services",620519
LT.NS,LT,"Larsen & Toubro Limited","Industrials","Engineering & Construction",559009
LICI.NS,LICI,"Life Insurance Corporation of India","Financial Services","Insurance - Life",540471
HINDUNILVR.NS,HINDUNILVR,"Hindustan Unilever Limited","Consumer Defensive","Household & Personal Products",535976
MARUTI.NS,MARUTI,"Maruti Suzuki India Limited","Consumer Cyclical","Auto Manufacturers",514174
ITC.NS,ITC,"ITC Limited","Consumer Defensive","Tobacco",503281
HCLTECH.NS,HCLTECH,"HCL Technologies Limited","Technology","Information Technology Services",447496
M&M.NS,M&M,"Mahindra & Mahindra Limited","Consumer Cyclical","Auto Manufacturers",434537
KOTAKBANK.NS,KOTAKBANK,"Kotak Mahindra Bank Limited","Financial Services","Banks - Regional",434025
SUNPHARMA.NS,SUNPHARMA,"Sun Pharmaceutical Industries Limited","Healthcare","Drug Manufacturers - Specialty & Generic",427394
AXISBANK.NS,AXISBANK,"Axis Bank Limited","Financial Services","Banks - Regional",378593
TITAN.NS,TITAN,"Titan Company Limited","Consumer Cyclical","Luxury Goods",348564
ULTRACEMCO.NS,ULTRACEMCO,"UltraTech Cement Limited","Basic Materials","Building Materials",339078
BAJAJFINSV.NS,BAJAJFINSV,"Bajaj Finserv Ltd.","Financial Services","Financial Conglomerates",324949
